"EntityLogicalName","EntitySchemaName","RelationshipSchemaName","ReferencedEntity","ReferencingEntity","ReferencedAttribute","ReferencingAttribute","RelationshipType","CascadeConfiguration","IsCustomRelationship"
"solar_solarpreventivetaskcategory","solar_solarpreventivetaskcategory","solar_solarpreventivetaskcategory_MailboxTrackingFolders","solar_solarpreventivetaskcategory","mailboxtrackingfolder","solar_solarpreventivetaskcategoryid","regardingobjectid","OneToMany","{""Assign"":""NoCascade"",""Delete"":""Cascade"",""Archive"":""NoCascade"",""Merge"":""NoCascade"",""Reparent"":""NoCascade"",""Share"":""NoCascade"",""Unshare"":""NoCascade"",""RollupView"":""NoCascade""}","False"
"solar_solarpreventivetaskcategory","solar_solarpreventivetaskcategory","solar_solarpreventivetaskcategory_UserEntityInstanceDatas","solar_solarpreventivetaskcategory","userentityinstancedata","solar_solarpreventivetaskcategoryid","objectid","OneToMany","{""Assign"":""NoCascade"",""Delete"":""Cascade"",""Archive"":""NoCascade"",""Merge"":""NoCascade"",""Reparent"":""NoCascade"",""Share"":""NoCascade"",""Unshare"":""NoCascade"",""RollupView"":""NoCascade""}","False"
"solar_solarpreventivetaskcategory","solar_solarpreventivetaskcategory","solar_solarpreventivetaskcategory_ProcessSession","solar_solarpreventivetaskcategory","processsession","solar_solarpreventivetaskcategoryid","regardingobjectid","OneToMany","{""Assign"":""NoCascade"",""Delete"":""NoCascade"",""Archive"":""NoCascade"",""Merge"":""NoCascade"",""Reparent"":""NoCascade"",""Share"":""NoCascade"",""Unshare"":""NoCascade"",""RollupView"":""NoCascade""}","False"
"solar_solarpreventivetaskcategory","solar_solarpreventivetaskcategory","solar_solarpreventivetaskcategory_BulkDeleteFailures","solar_solarpreventivetaskcategory","bulkdeletefailure","solar_solarpreventivetaskcategoryid","regardingobjectid","OneToMany","{""Assign"":""NoCascade"",""Delete"":""Cascade"",""Archive"":""NoCascade"",""Merge"":""NoCascade"",""Reparent"":""NoCascade"",""Share"":""NoCascade"",""Unshare"":""NoCascade"",""RollupView"":""NoCascade""}","False"
"solar_solarpreventivetaskcategory","solar_solarpreventivetaskcategory","solar_solarpreventivetaskcategory_PrincipalObjectAttributeAccesses","solar_solarpreventivetaskcategory","principalobjectattributeaccess","solar_solarpreventivetaskcategoryid","objectid","OneToMany","{""Assign"":""NoCascade"",""Delete"":""Cascade"",""Archive"":""NoCascade"",""Merge"":""NoCascade"",""Reparent"":""NoCascade"",""Share"":""NoCascade"",""Unshare"":""NoCascade"",""RollupView"":""NoCascade""}","False"
"solar_solarpreventivetaskcategory","solar_solarpreventivetaskcategory","lk_solar_solarpreventivetaskcategory_createdby","systemuser","solar_solarpreventivetaskcategory","systemuserid","createdby","ManyToOne","{""Assign"":""NoCascade"",""Delete"":""NoCascade"",""Archive"":""NoCascade"",""Merge"":""NoCascade"",""Reparent"":""NoCascade"",""Share"":""NoCascade"",""Unshare"":""NoCascade"",""RollupView"":""NoCascade""}","False"
"solar_solarpreventivetaskcategory","solar_solarpreventivetaskcategory","lk_solar_solarpreventivetaskcategory_createdonbehalfby","systemuser","solar_solarpreventivetaskcategory","systemuserid","createdonbehalfby","ManyToOne","{""Assign"":""NoCascade"",""Delete"":""NoCascade"",""Archive"":""NoCascade"",""Merge"":""NoCascade"",""Reparent"":""NoCascade"",""Share"":""NoCascade"",""Unshare"":""NoCascade"",""RollupView"":""NoCascade""}","False"
"solar_solarpreventivetaskcategory","solar_solarpreventivetaskcategory","lk_solar_solarpreventivetaskcategory_modifiedby","systemuser","solar_solarpreventivetaskcategory","systemuserid","modifiedby","ManyToOne","{""Assign"":""NoCascade"",""Delete"":""NoCascade"",""Archive"":""NoCascade"",""Merge"":""NoCascade"",""Reparent"":""NoCascade"",""Share"":""NoCascade"",""Unshare"":""NoCascade"",""RollupView"":""NoCascade""}","False"
"solar_solarpreventivetaskcategory","solar_solarpreventivetaskcategory","lk_solar_solarpreventivetaskcategory_modifiedonbehalfby","systemuser","solar_solarpreventivetaskcategory","systemuserid","modifiedonbehalfby","ManyToOne","{""Assign"":""NoCascade"",""Delete"":""NoCascade"",""Archive"":""NoCascade"",""Merge"":""NoCascade"",""Reparent"":""NoCascade"",""Share"":""NoCascade"",""Unshare"":""NoCascade"",""RollupView"":""NoCascade""}","False"
"solar_solarpreventivetaskcategory","solar_solarpreventivetaskcategory","user_solar_solarpreventivetaskcategory","systemuser","solar_solarpreventivetaskcategory","systemuserid","owninguser","ManyToOne","{""Assign"":""NoCascade"",""Delete"":""NoCascade"",""Archive"":""NoCascade"",""Merge"":""NoCascade"",""Reparent"":""NoCascade"",""Share"":""NoCascade"",""Unshare"":""NoCascade"",""RollupView"":""NoCascade""}","False"
"solar_solarpreventivetaskcategory","solar_solarpreventivetaskcategory","team_solar_solarpreventivetaskcategory","team","solar_solarpreventivetaskcategory","teamid","owningteam","ManyToOne","{""Assign"":""NoCascade"",""Delete"":""NoCascade"",""Archive"":""NoCascade"",""Merge"":""NoCascade"",""Reparent"":""NoCascade"",""Share"":""NoCascade"",""Unshare"":""NoCascade"",""RollupView"":""NoCascade""}","False"
